iter	Passed	Remaining
606	5734927	3713058
607	5769872	3720049
608	5792840	3719213
609	5807893	3713243
610	5824048	3707945
611	5838809	3701728
612	5865830	3703223
613	5895648	3706385
614	5942634	3720185
615	5967276	3719860
616	5988671	3717441
617	6003939	3711173
618	6032426	3713011
619	6070607	3720694
620	6091547	3717707
621	6113240	3715120
622	6145723	3719001
623	6167818	3716505
624	6188285	3712971
625	6208657	3709325
626	6233698	3708404
627	6264303	3710701
628	6291970	3711161
629	6336613	3721503
630	6350944	3713943
631	6367921	3707903
632	6389867	3704709
633	6409429	3700080
634	6432197	3697247
635	6451420	3692322
636	6470198	3687098
637	6482889	3678379
638	6499992	3672139
639	6530212	3673244
640	6544609	3665389
641	6574549	3666181
642	6590149	3658916
643	6627015	3663381
644	6648612	3659314
645	6688507	3665219
646	6714646	3663478
647	6758893	3671497
648	6783141	3668540
649	6800454	3661783
650	6823310	3657965
651	6840218	3650914
652	6863846	3647403
653	6889929	3645130
654	6911768	3640549
655	6935359	3636834
656	6960297	3633762
657	6987624	3631865
658	7007221	3625891
659	7037231	3625240
660	7059610	3620587
661	7079720	3614721
662	7110585	3614279
663	7125085	3605464
664	7144844	3599282
665	7178942	3600250
666	7203415	3596307
667	7239118	3597885
668	7273317	3598607
669	7306584	3598765
670	7332820	3595376
671	7376923	3600641
672	7402719	3596863
673	7448536	3602704
674	7464033	3593793
675	7493535	3591575
676	7515443	3585654
677	7572309	3596288
678	7613402	3599267
679	7663558	3606380
680	7694882	3604504
681	7718222	3598819
682	7766643	3604723
683	7790064	3598918
684	7829082	3600235
685	7860707	3598049
686	7879623	3589988
687	7907572	3585992
688	7931087	3579924
689	7949363	3571453
690	7983285	3569949
691	8000206	3560785
692	8037468	3560610
693	8067602	3557185
694	8089833	3550214
695	8112042	3543190
696	8134678	3536309
697	8156505	3529032
698	8180670	3522720
699	8203823	3515924
700	8228534	3509745
701	8249657	3501991
702	8282418	3499115
703	8304947	3491853
704	8326685	3484215
705	8352381	3478187
706	8392937	3478261
707	8447579	3484030
708	8479252	3480200
709	8524751	3481940
710	8558631	3478824
711	8592458	3475601
712	8626927	3472550
713	8671521	3473466
714	8697602	3466876
715	8723871	3460306
716	8753652	3455067
717	8769342	3444226
718	8788587	3434761
719	8821805	3430702
720	8843339	3422041
721	8874077	3416888
722	8896804	3408595
723	8944279	3409697
724	8965527	3400717
725	9002598	3397674
726	9031629	3391519
727	9062727	3386074
728	9089235	3378851
729	9106648	3368212
730	9125046	3357917
731	9148005	3349269
732	9177437	3342940
733	9209179	3337386
734	9241214	3331866
735	9259726	3321423
736	9290842	3315456
737	9316661	3307541
738	9349111	3301918
739	9369927	3292136
740	9393253	3283201
741	9413841	3273276
742	9432575	3262680
743	9455266	3253424
744	9467161	3240437
745	9490513	3231354
746	9504258	3218979
747	9512327	3204687
748	9524754	3191873
749	9537157	3179052
750	9544226	3164463
751	9558942	3152417
752	9568364	3138626
753	9576280	3124356
754	9587573	3111199
755	9600765	3098659
756	9620190	3088119
757	9631046	3074819
758	9642341	3061665
759	9653127	3048356
760	9668400	3036462
761	9686643	3025487
762	9696282	3011820
763	9711457	2999874
764	9726284	2987812
765	9737784	2974728
766	9752965	2962765
767	9769642	2951246
768	9778373	2937326
